teryt;wteryt;nazwa;firmyRz;przychodRz;wynikNettoRz;hotele2012;hotele2017;wSzkoly;absolwenci;przychodMF;nuts1;status;areaH;areakm;pop;popkm;rankA;rankP
1806;18;kolbuszowski;3;17633045;59318;2;2;0;0;115.13;e;;77317;774;62401;81;187;191
1807;18;krośnieński(podkarpackie);0;0;0;10;11;0;0;138.27;e;;99311;993;112481;113;130;63
1821;18;leski;0;0;0;14;15;0;0;127.8;e;;83494;835;26606;32;169;311
1808;18;leżajski;1;248416;5886;4;4;0;0;123.17;e;;58371;585;69641;119;260;168
1809;18;lubaczowski;1;380141;12155;2;3;0;0;102.22;e;;130837;1308;56086;43;61;220
1810;18;łańcucki;1;737380;11550;8;11;0;0;161.31;e;;45184;452;80741;179;291;125
1811;18;mielecki;0;0;0;9;7;0;65;NA;e;;88050;880;136666;155;157;33
1812;18;niżański;0;0;0;0;1;0;20;125.95;e;;78564;785;66917;85;184;172
1813;18;przemyski;0;0;0;2;6;0;0;115.62;e;;121122;1211;74440;61;85;151
1814;18;przeworski;1;201409;15936;2;4;1;39;133.25;e;;69802;698;78644;113;218;133
1815;18;ropczycko-sędziszowski;4;976918;44914;7;8;0;0;139.47;e;;54831;548;74198;135;269;152
1816;18;rzeszowski;0;0;0;17;21;0;0;162.78;e;;115333;1153;169165;147;95;11
1817;18;sanocki;1;997805;81049;4;10;1;321;162.85;e;;115643;1156;95035;82;94;90
1818;18;stalowowolski;6;2076035;45406;4;5;2;335;191.23;e;;83174;832;107138;129;171;73
1819;18;strzyżowski;0;0;0;1;4;0;0;129.05;e;;50347;503;61690;123;279;192
1820;18;tarnobrzeski;0;0;0;5;7;0;0;150.63;e;;52106;521;53388;102;278;232
1861;18;m.Krosno;5;2669286;137102;6;9;1;572;252.86;e;c;4350;44;46600;1071;53;64
1862;18;m.Przemyśl;4;925965;17853;9;10;3;275;195.07;e;c;4617;46;61808;1339;52;57
1863;18;m.Rzeszów;17;15535601;1016570;30;36;6;13562;303.43;e;c;12041;120;189662;1575;21;18
1864;18;m.Tarnobrzeg;1;249949;26836;5;5;1;356;210.84;e;c;8540;85;47387;555;32;63
2001;20;augustowski;0;0;0;9;10;0;0;150.7;e;;165939;1659;58669;35;23;203
2002;20;białostocki;15;5494605;130668;12;16;0;0;190.88;e;;297644;2975;147002;49;1;27
2003;20;bielski(podlaskie);7;4246363;161220;3;2;0;0;175.88;e;;138509;1385;55427;40;53;225
2004;20;grajewski;1;241583;21779;0;3;0;0;141.9;e;;96762;968;47781;49;135;251
2005;20;hajnowski;0;0;0;5;5;0;45;177.23;e;;162353;1624;43745;27;26;272
2006;20;kolneński;1;486075;1937;1;2;0;0;99.87;e;;94010;940;38748;41;144;291
2007;20;łomżyński;0;0;0;4;4;0;0;106.5;e;;135459;1355;51084;38;57;240
2008;20;moniecki;3;4552899;14318;3;2;0;0;NA;e;;138179;1382;41011;30;54;282
2009;20;sejneński;0;0;0;2;2;0;0;123.12;e;;85517;855;20270;24;163;314
2010;20;siemiatycki;4;2391235;74160;4;5;1;28;121.11;e;;145946;1459;45191;31;41;265
2011;20;sokólski;3;1070472;34691;2;2;0;0;126.07;e;;205450;2055;68188;33;8;169
2012;20;suwalski;0;0;0;3;4;0;0;121.15;e;;130700;1307;35955;28;63;297
2013;20;wysokomazowiecki;2;4721234;114117;0;2;0;0;153.02;e;;128891;1289;57516;45;65;209
2014;20;zambrowski;1;647378;13371;4;3;0;0;169.69;e;;73312;733;44027;60;202;269
2061;20;m.Białystok;0;0;0;18;22;10;8359;267.53;e;c;10213;102;297288;2911;26;10
2062;20;m.Łomża;4;1239515;40350;2;3;4;1085;227.53;e;c;3267;33;63092;1931;60;55
2063;20;m.Suwałki;4;749818;42794;3;7;1;474;209.42;e;c;6551;66;69554;1062;46;50
2201;22;bytowski;4;3040748;136804;3;3;0;0;158.77;n;;219207;2192;79134;36;6;130
2202;22;chojnicki;4;1399461;72748;10;10;1;205;180.2;n;;136421;1364;97251;71;56;87
2203;22;człuchowski;0;0;0;3;4;0;0;145.41;n;;157527;1575;56678;36;30;216
2204;22;gdański;4;1480688;64247;14;15;0;0;271.69;n;;79375;794;113983;144;182;59
2205;22;kartuski;25;7625091;1180035;10;14;0;0;205.71;n;;112054;1121;133841;119;100;36
2206;22;kościerski;1;578992;32979;11;11;0;23;158.2;n;;116567;1166;72311;62;90;159
2207;22;kwidzyński;3;4756309;604421;6;6;1;266;182.63;n;;83470;835;83423;100;170;119
2208;22;lęborski;2;525954;63759;9;9;0;0;181.41;n;;70602;706;66333;94;215;176
2209;22;malborski;2;424008;22410;7;8;0;37;181.15;n;;49423;494;63911;129;282;187
2210;22;nowodworski(pomorskie);0;0;0;7;14;0;0;161.75;n;;67408;674;35891;53;230;298
2211;22;pucki;0;0;0;28;32;0;0;207.47;n;;58118;581;84687;146;262;114
2212;22;słupski;0;0;0;14;14;0;0;191.76;n;;230424;2304;98737;43;4;82
2213;22;starogardzki;4;3674207;24124;4;4;1;43;178.25;n;;134534;1345;127868;95;59;39
2216;22;sztumski;0;0;0;0;0;0;0;130.75;n;;73074;731;41946;57;203;277
2214;22;tczewski;8;5495078;101090;11;12;0;0;191.18;n;;69711;697;115896;166;219;53
2215;22;wejherowski;9;4029667;143621;14;15;1;54;213.28;n;;128525;1285;213803;166;67;5
2261;22;m.Gdańsk;40;63167759;4035630;61;73;13;21187;381.73;n;c;26196;262;464254;1772;7;6
2262;22;m.Gdynia;0;0;0;14;13;5;3099;380.09;n;c;13514;135;246306;1823;18;12
2263;22;m.Słupsk;6;1426247;17638;7;9;2;924;252.18;n;c;4315;43;91465;2120;54;42
2264;22;m.Sopot;5;1537269;216887;22;27;2;356;515.12;n;c;1728;17;36533;2114;64;66
2401;24;będziński;19;30807569;979951;10;11;0;0;283.52;s;;36413;364;149316;410;307;26
2402;24;bielski(śląskie);5;5507262;272275;16;21;0;0;284.96;s;;45864;459;164003;358;290;13
2414;24;tyski;3;7510935;37673;1;3;0;0;305.65;s;;15815;158;59550;377;313;201
2403;24;cieszyński;14;7138679;242712;47;48;0;178;235.14;s;;73029;730;178251;244;204;10
2404;24;częstochowski;0;0;0;4;4;0;0;188.87;s;;152205;1521;135227;89;34;35
2405;24;gliwicki;16;13306606;488315;7;6;0;0;261.79;s;;66437;664;115647;174;234;54
2406;24;kłobucki;15;9746864;179662;1;1;0;0;200.19;s;;88859;889;85094;96;154;113
2407;24;lubliniecki;0;0;0;6;6;0;0;190.89;s;;82225;822;76768;93;174;143
2408;24;mikołowski;3;1151146;36395;6;5;0;0;325.67;s;;23310;233;97689;419;311;85
2409;24;myszkowski;1;431411;36474;4;7;0;0;209.17;s;;47925;479;71396;149;284;162
2410;24;pszczyński;8;4015132;178835;9;11;0;0;280.92;s;;47116;471;110626;235;288;67
2411;24;raciborski;5;3872131;152207;5;10;1;381;191.32;s;;54376;544;108918;200;270;70
2412;24;rybnicki;0;0;0;1;1;0;0;243.04;s;;22364;224;77942;349;312;138
2413;24;tarnogórski;5;1836149;115506;11;11;0;52;276.14;s;;64419;644;139300;216;238;30
2415;24;wodzisławski;1;260250;1907;5;6;0;35;249.13;s;;28675;287;157767;550;309;20
2416;24;zawierciański;7;6264918;50841;8;12;0;0;220.48;s;;100223;1003;119101;119;128;49
2417;24;żywiecki;6;6551317;679336;14;21;1;104;201.05;s;;104006;1040;153187;147;115;23
2461;24;m.Bielsko-Biała;31;31146171;1631124;10;18;7;2351;345.43;s;c;12451;125;171505;1377;20;22
2462;24;m.Bytom;2;1439867;76383;4;5;0;23;217.53;s;c;6944;69;168394;2425;42;23
