no;name;movies
619;Tom Tryon;2
620;Sailor Sharkey;2
621;Lule Warrenton;2
622;Lucienne Bridou;2
623;William Human;2
624;Joan Staley;2
625;Barbara Starr;2
626;Howard Vernon;2
627;Dominique Swain;2
628;Satyanarayana Kaikala;2
629;Ryôji Hayama;2
630;Donald Douglas;2
631;Dorothy Clark;2
632;Pearl Sindelar;2
633;Frank Elliott;2
634;Alan Hale Jr.;2
635;Louise Brooks;2
636;John Tyke;2
637;Tromp Terre'blanche;2
638;Chuy Valencia El Cotija;2
639;Marc McDermott;2
640;Marina Camacho;2
641;Helmut Schmid;2
642;Andrew Tombes;2
643;Montie Montana;2
644;Stefanie Powers;2
645;Andrés Mejuto;2
646;Lloyd Battista;2
647;Tom Ward;2
648;Churchill Scott;2
649;Ruth Sullivan;2
650;Jess Medina;2
651;Linda Leighton;2
652;Maria Teresa Sanders;2
653;Agustín de Anda;2
654;Arap Celal;2
655;Alicia Alonzo;2
656;Lucho Córdova;2
657;Lori Nelson;2
658;Maude Emory;2
659;Brad Hunt;2
660;Martine Beswick;2
661;Olive Borden;2
662;Arturo Dominici;2
663;William Brunton;2
664;Lorraine LaVal;2
665;Joaquín García Vargas;2
666;William Demarest;2
667;Roberto Meyer;2
668;Carlos Otero;2
669;Elaine Shepard;2
670;Stephanie Edmonds;2
671;Carole Landis;2
672;Susan Cummings;2
673;Yasar Sener;2
674;Marguerite Chapman;2
675;Stella Razeto;2
676;Floyd Ames;2
677;Ahmet Kostarika;2
678;Spencer Tracy;2
679;Rick Simpson;2
680;John Pringle;2
681;Ethel Grey Terry;2
682;Salvatore Billa;2
683;Sedley Brown;2
684;Rosita Ballesteros;2
685;Rich Henrich;2
686;Randall Oliver;2
687;John Hagin;2
688;Frona Hale;2
689;Joan Evans;2
690;Jess Hahn;2
691;Jane Reid;2
692;Paul Weigel;2
693;José Espinosa;2
694;Nigel Davenport;2
695;Liza Lorena;2
696;Jack Lambert;2
697;Oscar Apfel;2
698;Bárbara Gil;2
699;Figen Say;2
700;Ruth Findlay;2
701;Elsa Martinelli;2
702;Jack Donovan;2
703;Arthur Housman;2
704;Brandon De Wilde;2
705;Ray Saunders;2
706;Carlos Salazar;2
707;Jack Dill;2
708;Robert Redford;2
709;Norbert Cills;2
710;Frances Lee;2
711;Joe Ray;2
712;Ángel del Pozo;2
713;Gloria Osuna;2
714;Robert Young;2
715;Greta Granstedt;2
716;Daniela Giordano;2
717;Nevzat Açikgöz;2
718;Doris Kenyon;2
719;Yôko Minamida;2
720;John Lupton;2
721;Verónica Loyo;2
722;Ralph Yearsley;2
723;Elmo Billings;2
724;Warner Oland;2
725;Dorothy Vernon;2
726;Wadsworth Harris;2
727;Piero Vida;2
728;Rose Blossom;2
729;Mary Murphy;2
730;Jim Brown;2
731;Arthur Space;2
732;Malcolm Waite;2
733;Jane Talent;2
734;Oktay Yavuz;2
735;Leif Erickson;2
736;Helen Wolcott;2
737;Catherine Bennett;2
738;Cuyler Supplee;2
739;Tony Curtis;2
740;Virginia Marshall;2
741;John McGuire;2
742;Patrice Wymore;2
743;Ethel Wales;2
744;Zon Murray;2
745;Riccardo Garrone;2
746;Gardner James;2
747;Damian O'Flynn;2
748;Salih Güney;2
749;Marsha Hunt;2
750;William Phipps;2
751;Texas Jim Lewis;2
752;William Campbell;2
753;Kathryn Adams;2
754;Wolfgang Lukschy;2
755;Maxine Leslie;2
756;Terance Berry;2
757;Harry Bowen;2
758;Aline Towne;2
759;Caterina Trentini;2
760;Lucille Powers;2
761;Craig Woods;2
762;Lew Ayres;2
763;Magda Lane;2
764;Lana Wood;2
765;Barbara Nelli;2
766;Marjorie Manners;2
767;Rubén Rojo;2
768;José Canalejas;2
769;Ece Cansel;2
770;Ann Doran;2
771;Helene Chadwick;2
772;Frank Mills;2
773;Bert De Marc;2
774;Kay Morley;2
775;Pat Gleason;2
776;Sabine Bethmann;2
777;Joe Lawliss;2
778;Aïché Nana;2
779;Kathleen Kirkham;2
780;Dorothy Mackaill;2
781;Lightning the Horse;2
782;Ersun Kazançel;2
783;Newton House;2
784;Matimtiman Cruz;2
785;Donald Kirke;2
786;Margaret Hayes;2
787;Margaret Loomis;2
788;Roddy McDowall;2
789;Irma Serrano;2
790;Vane Calvert;2
791;Jolanda Modio;2
792;Ann McKay;2
793;Florence Turner;2
794;Gale Sondergaard;2
795;Margaret Cullington;2
796;Don Porter;2
797;Black King;2
798;Jeffrey Williams;2
799;Charo López;2
800;Tote Du Crow;2
801;Jan Merlin;2
802;Constance Bennett;2
803;Walter Coy;2
804;Harry Girard;2
805;Vonetta McGee;2
806;Lloyd Hughes;2
807;María Esquivel;2
808;Joe Moore;2
809;Massimo Righi;2
810;Florence Vidor;2
811;Richard Jaeckel;2
812;Letícia Román;2
813;Ángel Aranda;2
814;Kathleen Eliot;2
815;Nancy Deshon;2
816;Chubby Johnson;2
817;Bob Soler;2
818;Tony Ka Fai Leung;2
819;Carol Hughes;2
820;Vic Silayan;2
821;Ray Ripley;2
822;Franco Giornelli;2
823;Jan-Michael Vincent;2
824;Michael Paré;2
825;Marlene Dietrich;2
826;Gani Dede;2
827;Ernest Torrence;2
828;Paula Stone;2
829;Arthur Hoyt;2
830;Richard Basehart;2
831;Charles Delaney;2
832;Byron Foulger;2
833;Robert N. Bradbury;2
834;Tano Cimarosa;2
835;Ralph Johnson;2
836;Richard Eyer;2
837;La Prieta Linda;2
838;Tommy Rettig;2
839;Sara Montes;2
840;Dave Winter;2
841;Kazan the Wonder Dog;2
842;Richard Jordan;2
843;Ivano Staccioli;2
844;Robert Seiter;2
845;Janis Carter;2
846;Bruce Cowling;2
847;Jeff Morrow;2
848;Elvis Presley;2
849;Alberto Tejada;2
850;Lillian West;2
851;Patricia Aspíllaga;2
852;Ron Ely;2
853;Maretta Procaccini;2
854;Francis Carpenter;2
855;Tom Chatterton;2
856;James Bradbury Jr.;2
857;Lorena Andrea;2
858;William T. Hayes;2
859;Rex Ray;2
860;Arthur Mackley;2
861;Ruth Fuller Golden;2
862;Ricardo Montalban;2
863;Rhea Mitchell;2
864;Buddy Hunter;2
865;Gaby André;2
866;Casey Tibbs;2
867;Bertha Moss;2
868;Dick Winslow;2
869;Martha Valdés;2
870;Rubens da Silva Prado;2
871;Dale Van Sickel;2
872;Barbara Werle;2
873;William Ruhl;2
874;Milton Sills;2
875;Thomas Hunter;2
876;Tom Shirley;2
877;Robert Bice;2
878;Lee Powell;2
879;John Bromfield;2
880;Theodore Henderson;2
881;William L. Thorne;2
882;Mari Blanchard;2
883;Linda Douglas;2
884;Hector Dion;2
885;Jesse Collver;2
886;Maria Grazia Buccella;2
887;Kay Buckley;2
888;David Hess;2
889;May Robson;2
890;Carlo Gaddi;2
891;Kathleen Myers;2
892;Tex Starr;2
893;Jean Willes;2
894;Sally Payne;2
895;Grainger Hines;2
896;Leslie Easterbrook;2
897;Fernando Osés;2
898;Roberto Messina;2
899;Robert Milasch;2
900;Mario Cid;2
901;Joy Lewis;2
902;Marian Carr;2
903;Sam Hennings;2
904;Bowditch M. Turner;2
905;Isaura Espinoza;2
906;Giray Alpan;2
907;Ralph Roberts;2
908;Raúl Meraz;2
909;Flash;2
910;Marie Harmon;2
911;Ward Crane;2
912;Renalto Alves;2
913;Scott Forbes;2
914;DeWitt Jennings;2
915;Gregorio Angelucci;2
916;Fern Emmett;2
917;Anita Ekberg;2
918;Paul Willis;2
919;Ashlyn Rainn Holmes;2
920;John Archer;2
921;Tommy Flanagan;2
922;Jon Cypher;2
923;Joan Renee;2
924;Zalla Zarana;2
925;Frank Fenton;2
926;Luciana Paluzzi;2
927;Baby Charlene Barry;2
928;Fanny Schiller;2
929;Dick Botiller;2
930;Gene Lockhart;2
931;Paul Winters;2
932;Guillermo Méndez;2
933;Stelvio Rosi;2
934;Doug Krahn;2
935;Robert Kellard;2
936;Hugo Blanco;2
937;Christian J. Frank;2
938;Curley Baldwin;2
939;Dan Dovidio;2
940;Margaret Marquis;2
941;Pat Hingle;2
942;Hanna Hertelendy;2
943;Zahn McClarnon;2
944;Dorris Dare;2
945;Delia Scala;2
946;William Buckley;2
947;Sonia Furió;2
948;Edward LeSaint;2
949;Paul Sutton;2
950;Ed Begley;2
951;Tom Burlinson;2
952;Dennis Ambriz;2
953;Ferris Taylor;2
954;Saul Brooks;2
955;Rik Van Nutter;2
956;Berting Labra;2
957;Arletta Duncan;2
958;Justin Kreinbrink;2
959;Robert Walker;2
960;Augusto Benedico;2
961;Claudia Barrett;2
962;Charlie Ward;2
963;DJ Perry;2
964;Cliff Robertson;2
965;Enver Güney;2
966;Ron E. Harris;2
967;Yvonne Pelletier;2
968;Jack Dean;2
969;David Torrence;2
970;Ahmet Sert;2
971;Buster Gardner;2
972;Sam White;2
973;Milla Sannoner;2
974;Carmen Guash;2
975;Parker Stevenson;2
976;Emily Barrye;2
977;Guillermina Téllez Girón;2
978;Robert Emmett Keane;2
979;Brad Dexter;2
980;Philip Ford;2
981;Rance Howard;2
982;Patty Shepard;2
